Date,Symbol,Quantity,LimitPrice,FilledPrice,OrderID,Status
2025-12-30 09:23:22,AZN,32,92.6,92.6,caae0086-09b4-4b08-b55c-292b47b46cfa,filled
2025-12-30 09:23:22,PLD,23,128.44,128.44,46571738-fed4-4670-a415-8f84f0b8c09d,filled
2025-12-30 09:23:22,ULTA,4,609.08,609.08,e836d3ac-e81c-425d-8dd5-2725d1e264a5,filled
2025-12-30 09:23:22,JNJ,14,206.71,206.71,23d1b412-ca43-4819-967a-1099dee6d6bc,filled
2025-12-30 09:23:22,VRTX,6,456.3,455.9822,d9caafc7-c24b-43a3-84a6-71441fa8c416,filled
2025-12-30 09:23:22,GS,3,884.79,884.79,2b63cbb8-aca8-4cc0-bf93-1688b56fd019,filled
2025-12-30 09:23:23,PH,3,891.33,891.33,fe746529-5c15-4c9a-8f7b-94bdb0451db9,filled
2025-12-30 09:23:23,PCAR,27,111.06,111.06,8bd6e0be-297b-4e0e-a426-f678302301f6,filled
2025-12-30 09:23:23,ISRG,5,571.52,571.52,a4541f8d-edb0-4afa-ba06-5d5833d5f4f1,filled
2025-12-30 09:23:23,TRV,10,291.86,291.86,ff076a65-c562-4515-a549-5d7244629bf0,filled
2025-12-30 09:23:23,JPM,9,323.08,323.08,cefe803d-125e-4c33-b864-9dd7253977ed,filled
2025-12-30 09:23:23,FANG,19,150.85,150.7835,1c73acf1-289c-4a01-bde7-a93ea0e8dae7,filled
2025-12-30 09:23:23,FTV,53,56.08,56.08,db7a780f-e63a-4696-a3a7-cacacd8f73a4,filled
2025-12-30 09:23:23,EW,34,86.59,86.59,74944bae-5798-40b3-84b2-f3e0cb0a3714,filled
2025-12-30 09:23:24,AVY,1,183.48,183.39,86dfff0c-5bda-4640-b544-a02463cad735,filled
2025-12-30 09:59:32,LLY,2,1079.81,1079.81,2ca3df5b-9fc3-4491-a747-22c2e6cf347b,filled
2025-12-30 09:59:32,MRK,28,106.07,106.068,6d06487c-c17f-4e5d-b31b-7c2f1877c3c5,filled
2025-12-30 09:59:33,BIIB,17,176.44,176.44,d74abc3a-f20f-473f-93a3-15b105601c12,filled
2025-12-30 11:17:04,MU,10,294.57,294.57,24af833c-8f71-4321-8d57-bdc4d0cbb267,filled
2025-12-30 11:17:04,EW,34,86.17,,d402ea41-5840-43df-bedd-e4ee6019a740,canceled
2025-12-30 11:17:04,RTX,16,184.04,184.04,7eaf4eda-9c71-47f6-9a19-236e47da3b65,filled
2025-12-30 11:17:04,REGN,3,770.91,770.66,9eed79e2-d12a-45aa-a9de-4f1abc21801a,filled
2025-12-30 11:17:04,APP,4,696.76,696.425,3ddd2bd3-7f5a-4084-a119-848161b1fab3,filled
2025-12-30 11:17:04,CTSH,35,84.18,84.1558,2e76e46a-293d-4d23-bc72-f8b2f05147aa,filled
2025-12-30 11:17:04,NSC,10,291.12,291.06,fe0224a0-e9e2-4464-a9fa-2d7a67914111,filled
2025-12-30 11:17:05,WAT,7,381.23,381.23,64fa42d7-6ef1-4ef0-9768-aa5a0f6798c4,filled
2025-12-30 11:17:05,AAPL,11,272.4,,6e39e29e-6496-4cce-aabb-3232080a8bf2,canceled
2025-12-30 11:17:05,BAC,12,55.18,,1b1a1807-36b9-4e43-894b-6e6831d3bd64,canceled
2025-12-30 11:59:14,EW,34,86.31,86.31,3883972d-d84e-4527-adbb-31809e3df408,filled
2025-12-30 11:59:15,BAC,54,55.22,55.22,7a47d2b9-14ac-48db-8cb7-360ea2723a2b,filled
2025-12-30 11:59:15,AAPL,2,272.92,272.9099,c5678d7a-25ca-4c3d-bf1a-3c5c5e4917a7,filled
2025-12-30 12:02:23,AAPL,8,272.79,272.7767,45841569-75dd-4382-b488-91bf30db98c2,filled
2025-12-30 13:57:33,TWLO,6,144.38,144.38,540277d8-5952-4e73-a2e8-2bc5620766f1,filled
2025-12-31 10:04:47,TWLO,14,143.39,143.39,c159a7a4-455c-43ca-998e-498397f6951f,filled
2025-12-31 10:04:47,CBRE,18,162.38,162.38,85f5bbb2-353a-448d-b4bc-820ac1086c27,filled
2025-12-31 10:04:48,COF,12,243.94,243.94,920df5e3-9e2e-4bfc-9043-fcab87fa403a,filled
2025-12-31 14:27:39,FANG,4,150.27,150.27,c20a8622-2efa-4104-8c53-bc40b7955f41,filled
2025-12-31 14:27:40,MRK,5,105.03,105.03,76b4dd0c-9600-495f-98d0-4c6406b6244c,filled
2025-12-31 14:27:40,REGN,1,772.77,772.77,13abf2f5-9665-4159-b771-076dd7564a12,filled
2025-12-31 14:27:40,CBRE,3,161.35,161.35,e54d3e90-137a-4ce9-9709-17b91e0d38d6,filled
2026-01-02 10:25:39,GOOGL,5,311.08,310.975,1b668e6f-eeb1-4f3f-872c-d07040c8baf5,filled
2026-01-02 10:25:40,RTX,2,184.38,184.38,2f486ea3-6f3c-4ccb-adfe-006098d478fa,filled
2026-01-02 10:25:40,CTSH,7,81.8,81.8,744b4840-dbdd-46c0-9909-16ee7d29b9ed,filled
2026-01-02 10:25:40,BAC,5,55.63,55.63,d29128bc-287d-4868-96d2-5625a223583e,filled
2026-01-02 10:30:44,GOOGL,5,310.44,310.3998,c02d7ae5-7371-4fc7-a200-f20cf44e45e9,filled
2026-01-02 10:30:45,BAC,3,55.59,55.5799,edd8a49e-fe97-4842-9bf8-04de218bfada,filled
2026-01-02 11:41:21,BAC,1,55.53,55.53,b255575e-a3d8-4b12-b22e-9965506d6f90,filled
2026-01-02 12:40:52,CTSH,1,80.85,80.85,9bf96cdb-7f57-4166-bf19-bed046dd072f,filled
2026-01-02 14:34:42,LLY,1,1075.27,,1408a044-0c52-43c4-bf3e-d412ddf74b84,pending
2026-01-02 15:08:05,GOOGL,1,315.24,,5be938b1-8428-4059-aa87-39acec3d5cb8,pending
2026-01-02 15:08:05,MU,1,315.38,,e1035fff-9e48-4d3a-9f96-517f459c80d0,pending
2026-01-02 15:08:05,LRCX,14,185.07,,edc03767-94d9-43b9-b700-75c7b8e94b64,pending
2026-01-02 15:08:05,NVDA,13,188.82,,81e14563-1100-4abb-a2b4-a82e60037275,pending
2026-01-02 15:08:06,APH,13,139.73,,32167963-03c8-4d66-9ff2-51bef727cd48,pending
2026-01-02 15:08:06,ELV,4,354.26,,705b8ca8-1c82-4581-b821-e95557f385d7,pending
2026-01-02 15:08:06,BIIB,2,177.81,,1874fb0c-e9db-48ff-8223-133313f8e342,pending
2026-01-02 15:08:06,WAT,1,381.87,,e06e145d-b30a-4075-802d-f0b304520131,pending
2026-01-02 21:16:36,MU,1,315.38,,dec32a21-c966-4e67-bd86-4c6853b768a6,pending
2026-01-02 21:16:36,LRCX,4,185.07,,682d6f83-2d1a-49ce-bb8d-0f57aafa3c10,pending
2026-01-02 21:16:36,NVDA,5,188.82,,c94561cd-20c2-4f6b-99ee-d11346729258,pending
2026-01-02 21:16:36,APH,12,139.73,,454a409b-7e9e-438c-9ec1-4206c47592e2,pending
